(287, {'lat': 14.574113802851148, 'lon': 121.05852127075197})
(288, {'lat': 14.577104263343498, 'lon': 121.00496292114259})
(289, {'lat': 14.577104263343498, 'lon': 121.0082244873047})
(290, {'lat': 14.577104263343498, 'lon': 121.01131439208984})
(291, {'lat': 14.577104263343498, 'lon': 121.01457595825197})
(292, {'lat': 14.577104263343498, 'lon': 121.01766586303712})
(293, {'lat': 14.577104263343498, 'lon': 121.02075576782228})
(294, {'lat': 14.577104263343498, 'lon': 121.02401733398439})
(295, {'lat': 14.577104263343498, 'lon': 121.02710723876955})
(296, {'lat': 14.577104263343498, 'lon': 121.0301971435547})
(298, {'lat': 14.577104263343498, 'lon': 121.03654861450197})
|
(0, 17, {u'route_id': 7, u'road_path': [247814194, 2461227011, 247814196, 247813861, 247813860, 620650380, 620650368, 247813680, 247813894, 247813646, 1236729256, 247813644, 247813605, 316009004, 316009001, 21675317, 972690071, 225347443, 278994104, 278994112, 341254860, 420044138, 278996924, 420039661, 225347585, 420039644, 420045665, 244468042, 1671388289, 259656006, 266790611, 313870402, 225266123, 266740522, 259655618, 266790612, 32169081, 243433817, 243434165, 12067355, 1423836340, 750630860, 1272285053, 259659426, 414589973, 25650631, 943219999, 4232937740], u'lat_long_road_path': [[14.5265513, 121.0587643], [14.5263193, 121.057922], [14.526181, 121.0578121], [14.5262533, 121.0576874], [14.5263004, 121.0566698], [14.5263261, 121.0563591], [14.5254533, 121.0556946], [14.5251714, 121.0555959], [14.5239886, 121.0551669], [14.5218978, 121.0542975], [14.5209422, 121.0537549], [14.5200104, 121.053145], [14.5193276, 121.0525372], [14.5187768, 121.0522726], [14.517812, 121.0512121], [14.517681, 121.0509022], [14.5183509, 121.0507145], [14.5186781, 121.050597], [14.519273, 121.0483176], [14.5197221, 121.0473717], [14.5255009, 121.0435305], [14.526694, 121.0428732], [14.5282011, 121.0421848], [14.5304252, 121.0413113], [14.5347822, 121.0409822], [14.5347897, 121.0408341], [14.5319924, 121.0349464], [14.5258114, 121.0273127], [14.5274519, 121.0265199], [14.5410284, 121.0184241], [14.5419814, 121.0196381], [14.5449567, 121.0232477], [14.5473883, 121.0261985], [14.5476326, 121.0259894], [14.5451091, 121.0231228], [14.5422385, 121.0195182], [14.5392702, 121.0131219], [14.5391221, 121.0123073], [14.5390171, 121.0116409], [14.5388921, 121.0108055], [14.5388766, 121.0106097], [14.5387164, 121.0094236], [14.538505, 121.0078197], [14.5349605, 121.0033846], [14.5338093, 121.0034774], [14.5279309, 121.0048025], [14.5278426, 121.0048075], [14.5278254, 121.0049152]]})
